영화명,감독,배우,장르,등급,전국관객수
오만과 편견,조 라이트,키이라 나이틀리/매튜 맥퍼딘/브렌다 블레신/도날드 서덜랜드/톰 홀랜더/로자먼드 파이크/지나 말론/주디 덴치/,멜로/로맨스,12세,938874
평행이론,권호영,지진희/이종혁/박병은/윤세아/오현경/박근형/정한용/고인범,스릴러,15세,937029
뽀로로 극장판 슈퍼썰매 대모험,박영균,이선/이미자/김환진/함수정/홍소영/조현정/정미숙/엄상현,애니메이션,전체관,929985
애나벨,존 R. 레오네티,애나벨 월리스/워드 호튼/알프리 우다드/에릭 라딘/토니 아멘돌라/브라이언 호우/케리 오맬리/가브리엘 베이트먼,공포(호러),15세,925813
뉴월드,테렌스 맬릭,콜린 파렐/코리안카 킬처/크리스토퍼 플러머/크리스찬 베일/오거스트 쉘렌버그/웨스 스투디/데이빗 듈리스/요릭 밴 와게닌젠,드라마,전체관,925154
샤크,비키 젠슨/롭 레터맨,윌 스미스/로버트 드 니로/르네 젤위거/잭 블랙/안젤리나 졸리/마틴 스콜세지/지기 말리/더그 E. 더그,애니메이션,전체관,925154
슈퍼배드 2,크리스 리노드/피에르 꼬팽,스티브 카렐/미란다 코스그로브/크리스틴 위그/모이세스 아리아스/다나 가이어/벤자민 브랫/러셀 브랜드/켄 정,애니메이션,전체관,925108
아이스 에이지 2,카를로스 살다나,레이 로마노/존 레귀자모/데니스 리어리/퀸 라티파/숀 윌리엄 스코트/조쉬 펙/윌 아넷/제이 레노,애니메이션,전체관,924050
배트맨 비긴즈,크리스토퍼 놀란,크리스찬 베일/마이클 케인/리암 니슨/케이티 홈즈/게리 올드만/킬리언 머피/톰 윌킨슨/룻거 하우어,범죄,12세,921300
주먹왕 랄프,리치 무어,존 C. 라일리/잭 맥브레이어/제인 린치/사라 실버맨/알란 터딕/에드 오닐/스테파니 스콧/레이첼 해리스,애니메이션,전체관,918183
투어리스트,플로리안 헨켈 폰 도너스마르크,안젤리나 졸리/조니뎁/폴 베타니/티모시 달튼/스티븐 버코프/루퍼스 스웰/브루노 월코위치/마메드 아레즈키,드라마,15세,915359
크로싱,김태균,차인표/신명철/주다영/서영화/정인기/신철진,드라마,12세,907255
헷지,팀 존슨/캐리 커크패트릭,브루스 윌리스/게리 샌드링/스티브 카렐/에이브릴 라빈/완다 사이키스/윌리암 샤트너/닉 놀테/토마스 헤이든 처치/,애니메이션,전체관,905983
예의없는 것들,박철희,신하균/윤지혜/강산/박길수/박충선/박선우/김병옥/박용범,액션,18세,904802
썬더와 마법저택,벤 스타센/제레미 드그루손,정찬우/김태균/조현정/엄상현/박영재/김하영,애니메이션,전체관,904145
마이 파더,황동혁,김영철/다이엘 헤니/안석환/김인권/최종률/전국환,드라마,15세,902090
점쟁이들,신정원,김수로/강예원/이제훈/곽도원/김윤혜/양경모,코미디,15세,900054
타이탄의 분노,조나단 리브스만,샘 워싱턴/리암 니슨/랄프 파인즈/로자먼드 파이크/대니 휴스턴/에드가 라미레즈,액션,12세,893027
방과후 옥상,이석훈,봉태규/진태현/정윤조/하석진/조달환/이달형,코미디,15세,891417
베오울프,로버트 저메키스,레이 윈스턴/안소니 홉킨스/존 말코비치/로빈 라이트/브렌단 글리슨/크리스핀 글로버,애니메이션,15세,890100
몬스터 호텔,젠디 타타코브스키,아담 샌들러/스티브 부세미/프란 드레셔/앤디 샘버그/셀레나 고메즈/케빈 제임스,애니메이션,전체관,884885
아이스 에이지 3: 공룡시대,카를로스 살다나/마이크 트메이어,존 레귀자모/데니스 리어리/퀸 라티파/레이 로마노/크리스 웨지/카렌 디셔,애니메이션,전체관,877398
메가마인드,톰 맥그라스,윌 페렐/브래드 피트/조나 힐/티나 페이/김수로/저스틴 서룩스,애니메이션,전체관,875481
블랙,산제이 렐라 반살리,라니 무케르지/아미타브 밧찬/드리티먼 카터지/쉐나즈 파텔/아예샤 까푸르/마하바누 모디 코트왈,드라마,전체관,874913
디스 민즈 워,맥지,리즈 위더스푼/크리스 파인/톰 하디/첼시 핸들러/로라 밴더부트/데이비드 코에너,액션,15세,873396
스카이 라인,콜린 스트로즈/그렉 스트로즈,에릭 벌포/스카티 톰슨/브리타니 다니엘/크리스탈 리드/닐 홉킨스/데이빗 제야스,액션,12세,873079
고死 두 번째 이야기: 교생실습,유선동,김수로/황정음/윤시윤/지연/박은빈/지창욱,공포(호러),15세,872594
열한시,김현석,정재영/최다니엘/김옥빈/이대연/박철민/신다은,스릴러,15세,870785
몬스터 대학교,댄 스캔론,빌리 크리스탈/존 굿맨/스티브 부세미/헬렌 미렌/조엘 머레이/존 라첸버거,애니메이션,전체관,870065
개구쟁이 스머프 2,라자 고스넬,크리스티나 리치/닐 패트릭 해리스/알란 커밍/행크 아자리아/케이티 페리/제이마 메이스,애니메이션,전체관,869805
미확인 동영상 : 절대클릭금지,김태경,박보영/주원/강별/이맑음/강해인/최지헌,공포(호러),15세,867386
레모니 스니켓의 위험한 대결,브래드 실버링,짐 캐리/리암 에이켄/에밀리 브라우닝/카라 호프만/셀비 호프만/주드 로,코미디,전체관,858847
숙명,김해곤,송승헌/권상우/김인권/박한별/민응식/안내상,드라마,청소년,858215
올드미스다이어리,김석윤,예지원/지현우/김영옥/서승현/김혜옥/임현식,코미디,12세,856090
살인의뢰,손용호,김상경/김성균/박성웅/조재윤/김의성/기주봉,범죄,청소년,855980
헝거게임: 모킹제이,프란시스 로렌스,제니퍼 로렌스/조쉬 허처슨/리암 헴스워드/필립 세이모어 호프만/줄리안 무어/우디 해럴슨,어드벤처,15세,854377
디스트릭트 9,닐 블롬캠프,샬토 코플리/바네사 헤이우드/제이슨 코프/데이빗 제임스/나탈리 볼트/실베인 스트라이크,SF,청소년,853859
스타더스트,매튜 본,찰리 콕스/클레어 데인즈/미셸 파이퍼/로버트 드 니로/시에나 밀러/제이슨 플레밍,판타지,12세,853441
만추,김태용,현빈/탕웨이/제임스 C. 번스/김준성/존우/대니 랭,멜로/로맨스,15세,844103
오션스 트웰브,스티븐 소더버그,조지 클루니/브래드 피트/맷 데이먼/캐서린 제타 존스/앤디 가르시아/돈 치들,범죄,12세,842000
이대로 죽을 순 없다(Short Time),이영은,이범수/최성국/손현주/변주연/강성연/류용진,코미디,12세,838419
존 카터: 바숨 전쟁의 서막 ,앤드류 스탠튼,테일러 키취/린 콜린스/윌렘 대포/사만다 모튼/토마스 헤이든 처치/마크 스트롱,SF,12세,837426
마린보이,윤종석,김강우/조재현/박시연/이원종/엄효섭/오대환,액션,15세,837059
체포왕,임찬익,박중훈/이선균/이성민/김정태/최덕문/고주연,코미디,15세,831804
데자뷰,토니 스콧,덴젤 워싱턴/발 킬머/폴라 패튼/브루스 그린우드/아담 골드버그/맷 크레이븐,액션,12세,829891
손님,김광태,류승룡/이성민/천우희/이준/구승현/정경호,판타지,15세,827918
로봇(애니),카를로스 살다나,이완 맥그리거/할리 베리/그렉 키니어/멜 브룩스/드류 캐리/아만다 바인즈,코미디,전체관,826100
인시디어스 3,리 워넬,스테파니 스콧/더모트 멀로니/린 샤예/앵거스 샘슨/리 워넬/마이클 레이드 맥케이,공포(호러),15세,825517
남쪽으로 튀어,임순례,김윤석/오연수/한예리/백승환/박사랑/김성균,코미디,15세,821918
뮌헨,스티븐 스필버그,에릭 바나/다니엘 크레이그/시아란 힌즈/마티유 카소비츠/한스 지쉴러/아예렛 주러,스릴러,15세,817155
틴틴 : 유니콘호의 비밀,스티븐 스필버그,다니엘 크레이그/제이미 벨/앤디 서키스/사이먼 페그/캐리 엘위스/닉 프로스트,애니메이션,전체관,814023
하트 오브 더 씨,론 하워드,크리스 헴스워스/벤자민 워커/킬리언 머피/톰 홀랜드/벤 위쇼/브렌단 글라슨,액션,12세,809755
외출,허진호,배용준/손예진/임상효/김광일/전국환,멜로/로맨스,18세,809191
모범시민,F. 게리 그레이,제이미 폭스/제라드 버틀러/레슬리 빕/브루스 맥길/비올라 데이비스/콤 미니,스릴러,15세,807486
써로게이트,조나단 모스토우,브루스 윌리스/라다 미첼/로자먼드 파이크/보리스 코조/빙 라메스/제임스 크롬웰,SF,15세,806924
밀리언 달러 베이비 ,클린트 이스트우드,클린트 이스트우드/힐러리 스웽크/모건 프리먼/안소니 마키/제이 바루첼/마이크 콜터,드라마,12세,806891
헝거게임: 더 파이널,프란시스 로렌스,제니퍼 로렌스/조쉬 허처슨/리암 헴스워드/필립 세이모어 호프만/줄리안 무어/우디 해럴슨,액션,15세,806709
킹스 스피치,톰 후퍼,콜린 퍼스/제프리 러쉬/헬레나 본햄 카터/가이 피어스/제니퍼 엘/마이클 갬본,드라마,12세,806248
스피드 레이서,앤디 워쇼스키/래리 워쇼스키,에밀 허쉬/크리스티나 리치/니콜라스 엘리아/존 굿맨/비/매튜 폭스,액션,12세,804631
하늘에서 음식이 내린다면 2,코디 카메론/크리스 피언,빌 헤이더/안나 페리스/닐 패트릭 해리스/제임스 칸/테리 크루즈/앤디 샘버그,애니메이션,전체관,800062
카트,부지영,염정아/문정희/김영애/김강우/디오/황정민,드라마,12세,799275
무극,첸 카이거,장동건/장백지/사나다 히로유키/사정봉/유엽/진홍,멜로/로맨스,12세,798091
A-특공대,조 카나한,리암 니슨/브래들리 쿠퍼/제시카 비엘/퀸튼 잭슨/샬토 코플리/패트릭 윌슨,액션,15세,791173
화이트: 저주의 멜로디,김곡/김선,은정/황우슬혜/메이다니/최아라/진세연/변정수,공포(호러),15세,790954
상의원,이원석,한석규/고수/박신혜/유연석/마동석/신소율,사극,15세,790158
잭 리처,크리스토퍼 맥쿼리,톰 크루즈/로자먼드 파이크/로버트 듀발/베르너 헤어조크/리차드 젠킨스/데이빗 오예로워,액션,15세,784031
러시 아워 3,브렛 래트너,크리스 터커/성룡/막스 폰 시도우/사나다 히로유키/이반 아탈/쿠도 유키,범죄,15세,783668
숨바꼭질,존 폴슨,로버트 드 니로/다코타 패닝/팜케 얀센/엘리자베스 슈/에이미 어빙/딜란 베이커,드라마,15세,779200
데스노트,카네코 슈스케,후지와라 타츠야/마츠야마 켄이치/세토 아사카/카시이 유우/호소카와 시게키/토다 에리카,범죄,12세,777230
관능의 법칙,권칠인,엄정화/문소리/조민수/이경영/이성민/이재윤,드라마,청소년,773996
그랜드 부다페스트 호텔,웨스 앤더슨,랄프 파인즈/틸다 스윈튼/토니 레볼로리/시얼샤 로넌/애드리언 브로디/윌렘 대포,미스터리,청소년,773649
푸른소금,이현승,송강호/신세경/천정명/이종혁/김민준/윤여정,액션,15세,771699
플라이트 플랜,로베르트 슈벤트케,조디 포스터/피터 사스가드/에리카 크리스틴슨/케이트 비핸/그레타 스카치/주디스 스콧,드라마,12세,771544
나는 왕이로소이다,장규성,주지훈/백윤식/변희봉/박영규/임원희/김수로,사극,12세,768971
좋아해줘,박현진,이미연/최지우/김주혁/유아인/강하늘/이솜,멜로/로맨스,12세,768382
나의 결혼원정기,황병국,정재영/수애/유준상/김성겸/김지영/권태원,드라마,12세,767657
토르: 마법망치의 전설,오스카 요나손/토비 젠켈/거나 칼슨,하하/최효종/김원효/조지훈/양유진,애니메이션,전체관,765315
두 얼굴의 여친,이석훈,봉태규/정려원/이혜은/신은정/김태수/김경래,멜로/로맨스,15세,762112
리오 2,카를로스 살다나,제시 아이젠버그/앤 해서웨이/저메인 클레멘트/제이미 폭스/윌.아이.엠/브루노 마스,애니메이션,전체관,761404
모던보이,정지우,박해일/김혜수/김남길/김태한/김영재/신구,드라마,12세,758473
판타스틱4,팀 스토리,이안 그루퍼드/제시카 알바/크리스 에반스/마이클 치클리스/줄리안 맥마혼/케리 워싱턴,액션,전체관,757900
볼트,바이론 하워드/크리스 윌리엄스,존 트라볼타/마일리 사이러스/수지 에스먼/마크 월튼/말콤 맥도웰,애니메이션,전체관,757337
안녕 헤이즐,조쉬 분,쉐일린 우들리/안셀 엘고트/냇 울프/윌렘 대포/로라 던/로테 베르빅,드라마,12세,744387
그림형제 : 마르바덴 숲의 전설,테리 길리엄,맷 데이먼/히스 레저/피터 스토메어/레나 헤디/조나단 프라이스/모니카 벨루치,판타지,15세,744045
주유소 습격사건 2,김상진,지현우/조한선/문원주/정재훈/박영규/권용운,액션,15세,742475
디파티드,마틴 스콜세지,레오나르도 디카프리오/맷 데이먼/잭 니콜슨/마크 월버그/마틴 쉰/레이 윈스턴,드라마,15세,742276
싸이보그지만 괜찮아,박찬욱,비/임수정/최희진/이용녀/유호정/손영순,SF,12세,739481
시간 여행자의 아내,로베르트 슈벤트케,에릭 바나/레이첼 맥아담스/알렉스 페리스/론 리빙스턴/미쉘 놀든,SF,12세,738963
김씨표류기,이해준,정재영/정려원/박영서,코미디,12세,733931
더 파이브,정연식,김선아/온주완/마동석/신정근/정인기/이청아,스릴러,청소년,731212
Mr.로빈 꼬시기,김상우,엄정화/다니엘 헤니/홀리 캐롤 클락/방중현/김기현/오미연,멜로/로맨스,12세,730443
순정만화,류장하,유지태/이연희/채정안/강인/수영/신충식,멜로/로맨스,12세,730343
비스티 보이즈,윤종빈,윤계상/하정우/윤진서/김민주/마동석/유하준,드라마,청소년,727409
푸시,폴 맥기건,크리스 에반스/다코타 패닝/카밀라 벨/클리프 커티스/디몬 하운수/밍나 웬,SF,15세,726998
슬픔보다 더 슬픈 이야기,원태연,권상우/이보영/이범수/장애연/이한위/신현탁,멜로/로맨스,15세,724107
드림걸즈,빌 콘돈,제이피 폭스/비욘세/에디 머피/제니퍼 허드슨/대니 글로버/아니카 노니 로즈,드라마,15세,722923
신데렐라,케네스 브래너,릴리 제임스/리차드 매든/케이트 블란쳇/헬레나 본햄 카터/홀리데이 그레인저/소피 맥쉐라,멜로/로맨스,전체관,716386
에비에이터,마틴 스콜세지,레오나르도 디카프리오/케이트 블란쳇/케이트 베킨세일/존 C. 라일리/알렉 볼드윈/알란 알다,드라마,15세,715763
풍산개,전재홍,윤계상/김규리/김종수/한기중/최무성/유하복,드라마,청소년,714102
고질라,가렛 에드워즈,애런 존슨/브라이언 크랜스톤/엘리자베스 올슨/줄리엣 비노쉬/와타나베 켄/데이빗 스트라탄,액션,12세,709734
가을로,김대승,유지태/김지수/엄지원/최종원/박승태/임종윤,멜로/로맨스,15세,707820
마음이2,이정철,성동일/김정태/송중기/장한/박순천,드라마,전체관,707748
로보트 태권 V,김청기,김영옥/안정현/김보미/김보영/김영찬,SF,전체관,705207
라스베가스에서만 생길 수 있는 일,톰 바우건,카메론 디아즈/애쉬튼 커쳐/랍 코드리/레이크 벨/트리트 윌리암스,멜로/로맨스,15세,704834
스위니 토드 : 어느 잔혹한 이발사 이야기,팀 버튼,조니 뎁/헬레나 본햄 카터/앨런 릭먼/티모시 스폴/사챠 바론 코헨,뮤지컬,청소년,704058
천일의 스캔들,저스틴 채드윅,나탈리 포트만/스칼렛 요한슨/에릭 바나/짐 스터게스/마크 라이런스,사극,15세,700095
내 깡패 같은 애인,김광식,박중훈/정유미/박원상/정우혁/정인기,드라마,15세,699973
6월의 일기,임경수,신은경/김윤진/에릭/윤주상/맹세창,드라마,15세,697980
트랜센던스,월리 피스터,조니 뎁/레베카 홀/모건 프리먼/폴 베타니/킬리언 머피,SF,12세,696412
님스 아일랜드,마크 레빈,아비게일 브레스린/조디 포스터/제라드 버틀러/마이클 카맨/미크 브래디,코미디,전체관,694728
통증,곽경택,권상우/정려원/마동석/장영남/김형종,멜로/로맨스,15세,693101
여교수의 은밀한 매력,이하,문소리/지진희/박원상/유승목/김영호,코미디,18세,691735
분노의 질주: 더 오리지널,저스틴 린,빈 디젤/폴 워커/미셀 로드리게즈/조다나 브류스터/라즈 알론소,액션,15세,685746
스텝 업 3D,존 추,샤니 빈슨/릭 말람브리/애덤 G. 세바니/해리 슘 주니어/알리슨 스토너,드라마,12세,682712
스파이더위크가의 비밀,마크 S. 워터스,프레디 하이모어/메리 루이스 파커/닉 놀테/사라 볼거/앤드류 맥카시,어드벤처,전체관,682525
픽셀,크리스 콜럼버스,아담 샌들러/케빈 제임스/미셸 모나한/피터 딘클리지/조시 게드,액션,12세,681945
천하장사 마돈나,이해영/이해준,류덕환/김윤석/문세윤/이언/박영서,드라마,15세,678930
기담,정 식/정범식,진구/이동규/김태우/김보경/고주연,공포(호러),15세,678546
리턴,이규만,김명민/유준상/김태우/정유석/김유미,미스터리,청소년,677939
Mr.히치: 당신을 위한 데이트 코치,앤디 테넌트,윌 스미스/에바 멘데스/케빈 제임스/앰버 발레타/줄리 앤 엠메리,멜로/로맨스,12세,675444
몬스터 vs 에이리언,롭 레터맨/콘래드 베논,리즈 위더스푼/휴 로리/세스 로건/레인 윌슨/키퍼 서덜랜드,애니메이션,전체관,672285
동주,이준익,강하늘/박정민/김인우/최홍일/김정팔,드라마,12세,671788
고양이: 죽음을 보는 두 개의 눈,변승욱,박민영/김동욱/김예론/신다은/장유,공포(호러),15세,670295
연애 그 참을 수 없는 가벼움,김해곤,김승우/장진영/선우용여/김상호/남성진,멜로/로맨스,18세,668104
카,존 라세터,오웬 윌슨/폴 뉴먼/보니 헌트/마이클 키튼/밥 코스타스,애니메이션,전체관,665303
하늘에서 음식이 내린다면,필 로드/크리스 밀러,빌 헤이더/안나 페리스/제임스 칸/앤디 샘버그/브루스 캠벨,애니메이션,전체관,665096
리핑 10개의 재앙,스티븐 홉킨스,힐러리 스웽크/데이비드 모리시/이드리스 엘바/윌리엄 랙스데일/안나소피아 롭,SF,15세,664000
명탐정 코난 : 칠흑의 추적자,야마모토 타이치로,타카야미 미나미/야마자키 와카나/카미야 아키라/챠후린/오가타 켄이치,애니메이션,전체관,661550
신데렐라,봉만대,도지원/신세경/안규련/유다인/안아영,공포(호러),15세,659122
삼총사 3D,폴 W.S. 앤더슨,올랜도 블룸/밀라 요보비치/로건 레먼/매튜 맥퍼딘/주노 템플,액션,12세,657564
실종,김성홍,문성근/추자현/전세현/오성수/남문철,범죄,청소년,654587
열정같은소리하고있네,정기훈,정재영/박보영/배성우/류현경/진경,드라마,15세,654407
아이 엠 넘버 포,D.J. 카루소,알렉스 페티퍼/티모시 올리펀트/테레사 팔머/다이아나 애그론/캘런 맥오리피,액션,12세,654386
엔더스 게임,개빈 후드,해리슨 포드/에이사 버터필드/벤 킹슬리/헤일리 스테인펠드/비올라 데이비스,SF,12세,654212
그날의 분위기,조규장,문채원/유연석/조재윤/박민우/이연두,멜로/로맨스,15세,652392
여고괴담 5,이종용,오연서/장경아/손은서/송민정/유신애,공포(호러),15세,652097
울학교 이티,박광춘,김수로/이한위/김성령/백성현/이민호,드라마,15세,651439
오션스,자끄 페렝/자크 클로드,피어스 브로스넌,다큐멘터리,전체관,650994
스텔스,롭 코헨,조쉬 루카스/제시카 비엘/제이미 폭스/샘 쉐퍼드/조 모튼,액션,12세,650160
프레스티지,크리스토퍼 놀란,휴 잭맨/크리스찬 베일/마이클 케인/스칼렛 요한슨/레베카 홀,스릴러,15세,646184
눈먼자들의 도시,페르난도 메이렐레스,줄리안 무어/마크 러팔로/가엘 가르시아 베르날/대니 글로버/앨리스 브라가,드라마,청소년,645218
리오,카를로스 살다나,앤 해서웨이/제시 아이젠버그/제이미 폭스/레슬리 만/제이크 T. 오스틴,애니메이션,전체관,645191
아파트,안병기,고소영/강성진/장희진/박하선/김동욱,공포(호러),18세,644893
명탐정 코난 : 침묵의 15분,시즈노 코분,타카야마 미나미/야마자키 와카나/마츠이 나오코/코야마 리키야/챠후린,애니메이션,전체관,644216
페임,케빈 탄차로엔,애셔 먼로/케이 파나베이커/케링턴 페인/폴 맥길/윌터 페레즈,코미디,12세,644163
머니볼,베넷 밀러,브래드 피트/조나 힐/필립 세이모어 호프만/로빈 라이트/크리스 프랫,드라마,12세,641099
백만장자의 첫사랑,김태균,현빈/이연희/이한솔/조용준/함시훈,멜로/로맨스,12세,639596
호튼,지미 헤이워드/스티브 마티노,짐 캐리/스티브 카렐/캐롤 버넷/윌 아넷/세스 로건,애니메이션,전체관,638598
스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,샤를리즈 테론/크리스틴 스튜어트/크리스 헴스워스/샘 클라플린/토비 존스,액션,12세,636631
마고리엄의 장난감 백화점,자크 헬름,더스틴 호프만/나탈리 포트만/제이슨 베이트먼/자크 밀스/테드 루드직,가족,전체관,635341
플랜맨,성시흡,정재영/한지민/장광/김지영/차예련,드라마,15세,632299
판타스틱 4: 실버 서퍼의 위협,팀 스토리,이안 그루퍼드/제시카 알바/크리스 에반스/마이클 치클리스/줄리안 맥마혼,SF,12세,631990
핸드폰,김한민,박용우/엄태웅/박솔미/황보연,스릴러,청소년,630049
스승의 은혜,임대웅,오미희/서영희/여현수/이지현,공포(호러),18세,629452
조선마술사,김대승,유승호/고아라/이경영/조윤희,드라마,12세,628568
다찌마와리,류승완,임원희/공효진/박시연/황보라,액션,12세,628508
명탐정 코난: 천공의 난파선,야마모토 야스이치로,타카야미 미나미/야마자키 와카나/야마구치 캇페이/코야마 리키야,애니메이션,전체관,628423
앨빈과 슈퍼밴드2,베티 토머스,제이슨 리/저스틴 롱/매튜 그레이 구블러/제시 맥카트니,가족,전체관,625900
더 임파서블,후안 안토니오 바요나,이완 맥그리거/나오미 왓츠/톰 홀랜드/제랄딘 채플린,액션,12세,622572
해부학 교실,손태웅,한지민/오태경/온주완/조민기,공포(호러),15세,622400
아더 크리스마스,베리 쿡,빌 나이/제임스 맥어보이/휴 로리/짐 브로드벤트,애니메이션,전체관,622286
눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,벨라 손/샬토 코플리/숀 빈/이사벨 퍼만,애니메이션,전체관,618598
인 타임,앤드류 니콜,아만다 사이프리드/저스틴 팀버레이크/킬리언 머피/올리비아 와일드,SF,12세,616943
홍길동의 후예,정용기,이범수/김수로/성동일/이시영,액션,12세,616654
특종: 량첸살인기,노덕,조정석/이미숙/이하나/김의성,스릴러,15세,616481
행복을 찾아서,가브리엘 무치노,윌 스미스/제이든 스미스/제임스 카렌/탠디 뉴튼,드라마,전체관,615374
앨빈과 슈퍼밴드,팀 힐,제이슨 리/저스틴 롱/매튜 그레이 구블러/제시 맥카트니,코미디,전체관,612936
미쓰GO,박철관,고현정/유해진/성동일/이문식,액션,15세,611685
무영검,김영준,이서진/윤소이/이기용/신현준,액션,12세,609852
서부전선,천성일,설경구/여진구/이경영/정성화,전쟁,12세,609063
그린 존,폴 그린그래스,맷 데이먼/제이슨 아이삭스/그렉 키니어/에이미 라이언,드라마,15세,606841
헝거게임: 판엠의 불꽃,게리 로스,제니퍼 로렌스/조쉬 허처슨/리암 헴스워드/엘리자베스 뱅크스,액션,15세,606531
왓치맨,잭 스나이더,제프리 딘 모건/빌리 크루덥/말린 애커맨/칼라 구기노,액션,청소년,606317
이층의 악당,손재곤,한석규/김혜수/지우/김기천,코미디,15세,605224
피에타,김기덕,조민수/이정진/우기홍/강은진,드라마,청소년,602967
역전의 명수,박흥식,정준호/윤소이/김혜나/박정수,코미디,15세,602078
그루지,시미즈 다카시,사라 미셸 겔러/제이슨 베어/빌 풀만/그레이스 자브리스키,공포(호러),15세,601342
다이노소어 어드벤처 3D,베리 쿡/닐 나이팅게일,저스틴 롱/찰리 로우/앵거리 라이스,액션,전체관,599963
